rank,name,nationality,dob,points
116,Mercy CHELANGAT,KEN,1997-07-11,1143
117,Bailey HERTENSTEIN,USA,2000-04-20,1143
118,Mélody JULIEN,FRA,1999-05-13,1142
119,Bronte OATES,AUS,2004-08-23,1140
120,Sara HALL,USA,1983-04-15,1140
121,Hanne VERBRUGGEN,BEL,1993-05-27,1140
122,Atsede BAYISA,ETH,1987-04-16,1140
123,Erika TANOURA,JPN,2000-02-01,1139
124,Rika KASEDA,JPN,1999-03-02,1138
125,Katie IZZO,USA,1996-12-22,1137
126,Kaede KAWAMURA,JPN,1997-11-23,1137
127,Roxane CLEPPE,BEL,2001-07-05,1136
128,Beatriz ÁLVAREZ,ESP,1994-12-16,1136
129,Danielle POLERECKY,USA,1994-08-13,1135
130,Emily LIPARI,USA,1992-11-19,1134
131,Sara NESTOLA,ITA,2001-05-08,1133
132,Jessica GOCKLEY-DAY,USA,1998-04-27,1131
133,Momoka KAWAGUCHI,JPN,1998-06-28,1131
134,Seema,IND,2001-01-10,1131
135,Mei HOSOMI,JPN,2007-01-04,1130
136,Rosina MACHU,USA,,1130
137,Viktoriia KALIUZHNA,UKR,1994-07-11,1130
138,Kira WEIS,GER,2004-03-16,1130
139,Esther NAVARRETE,ESP,1990-03-16,1130
140,Moira STEWARTOVÁ,CZE,1995-06-09,1129
141,Ai HOSODA,JPN,1995-11-27,1129
142,Edymar BREA,VEN,1997-03-03,1127
143,Shiho TACHIZAKO,JPN,2003-12-26,1127
144,Veerle BAKKER,NED,1997-09-29,1126
145,Anna VIKULOVA,RUS,1995-10-10,1125
146,Julia KORALEWSKA,POL,2002-02-17,1124
147,Florence CARON,CAN,,1124
148,Anika THOMPSON,IRL,2003-02-22,1123
149,Nubia Oliveira DE SILVA,BRA,2002-04-06,1123
150,Elena HAYDAY,USA,,1123
151,Idaira PRIETO,ESP,1997-08-17,1122
152,Sheila CHEPKIRUI,KEN,1990-12-27,1121
153,Georgie GRGEC,NZL,1993-11-18,1121
154,Natosha ROGERS,USA,1991-05-07,1121
155,Xiuzhen MA,CHN,2000-07-05,1120
156,Brenda TUWEI,KEN,,1119
157,Olimpia BREZA,POL,2002-02-14,1119
158,Sarah KLEIN,AUS,1985-04-19,1119
159,Edna CHEPKEMOI,KEN,,1118
160,Jenna HUTCHINS,USA,2004-03-25,1118
161,Carolina SCHÄFER,GER,2004-07-25,1118
162,Edna CHELULEI,USA,,1118
163,Maria YERMAKOVA,RUS,2003-05-29,1117
164,Valentina GEMETTO,ITA,1998-02-04,1117
165,Laura PRIEGO,ESP,1998-07-15,1117
166,Fabienne KÖNIGSTEIN,GER,1992-11-25,1117
167,Gracelyn LARKIN,CAN,2001-01-10,1117
168,Aubrey FRENTHEWAY,USA,,1116
169,Deborah CHEMUTAI,KEN,2005-07-25,1116
170,Yuka ANDO,JPN,1994-03-16,1115
171,Sarah ASTIN,GBR,1993-10-22,1115
172,Nursena ÇETO,TUR,2002-05-01,1115
173,Sydney THORVALDSON,USA,2003-03-07,1115
174,Domtila CHERUTO,KEN,2005-05-11,1114
175,Hilda OLEMOMOI,KEN,2003-12-02,1114
176,Olivia PRATT,USA,1994-01-21,1114
177,Eva SCHULTZ,GER,1995-03-24,1114
178,Carrie ELLWOOD,USA,1994-03-08,1114
179,Yuka TAKASHIMA,JPN,1988-05-12,1113
180,W.A.M.Rasara WIJESURIYA,SRI,2002-11-24,1113
181,Edinah JEROTICH,KEN,1998-05-31,1112
182,Ann-Marie MCGLYNN,IRL,1980-02-22,1112
183,Susanna SULLIVAN,USA,1990-05-13,1112
184,Anne-Marie BLANEY,USA,1993-09-09,1111
185,Jadyn KEELER,CAN,,1110
186,Ruth WHITE,USA,,1110
187,Alisa VAINIO,FIN,1997-11-16,1110
188,Helen BEKELE,SUI,1994-11-21,1110
189,Mekedes ALEMESHETE,ETH,2006-03-30,1109
190,Lilla BÖHM,HUN,1994-09-28,1109
191,Méline ROLLIN,FRA,1998-06-17,1109
191,Sadie SIGFSTEAD,CAN,2003-05-17,1109
193,Sophia KING,USA,1996-04-11,1108
194,Tiantian LIANG,CHN,2004-08-31,1107
195,Kana KOBAYASHI,JPN,2001-04-04,1107
196,Brenda JEPCHIRCHIR,KEN,2005-07-10,1107
197,Lily MURPHY,USA,,1107
198,Kaho HORIO,JPN,1999-07-31,1106
199,Anastasia MARINAKOU,GRE,1996-06-12,1106
199,Hanne Mjøen MARIDAL,NOR,1996-09-21,1106
201,Viktória WAGNER-GYÜRKÉS,HUN,1992-10-15,1105
202,Min LIU,CHN,1997-12-22,1105
203,Phoebe ANDERSON,GBR,2002-06-23,1105
204,Emmy JEPKEMOI,KEN,1998-05-07,1105
205,Sakiho TSUTSUI,JPN,1996-01-19,1105
206,Rion FURUKAWA,JPN,2001-09-25,1104
207,Elvanie NIMBONA,BDI,1998-03-15,1104
208,Neheng KHATALA,LES,1992-07-02,1103
209,Live SOLHEIMDAL,NOR,1996-09-23,1103
210,Liza ŠAJN,SLO,2002-05-05,1103
211,Cuomu CIREN,CHN,1997-08-27,1103
212,Elżbieta GLINKA,POL,1993-10-30,1103
212,Micaela Rivera WOOD,PER,2000-01-01,1103
214,Kaho ONISHI,JPN,2000-07-20,1102
215,Maeve STILES,USA,2002-05-09,1102
216,Viktoriia SHKURKO,UKR,1997-12-25,1101
217,Annie RODENFELS,USA,1996-07-24,1101
218,Yanli ZHAO,CHN,2000-12-04,1101
219,Miu YAGI,JPN,2003-09-22,1101
220,Sylvia Mboga MEDUGU,KEN,1990-02-14,1100
221,Philippine DE LA BIGNE,FRA,1998-03-29,1099
222,Célia TABET,FRA,1999-08-29,1099
223,Andrea MARKEZICH,USA,,1098
224,Natsuki OMORI,JPN,1994-06-22,1098
225,Cacisile SOSIBO,RSA,1997-08-31,1098
226,Mitsu OZAKI,JPN,2003-12-12,1098
227,Anna MATSUDA,JPN,1994-04-18,1098
228,Morgan JENSEN,USA,,1097
229,Olga NYZHNYK,UKR,1990-12-02,1097
230,Blanca FERNÁNDEZ,ESP,1992-04-01,1097
231,Eva JESS,USA,,1097
232,Jenny SCHILLING,USA,,1097
233,Kiara NAHEN,GER,2002-05-25,1096
234,Shona HEASLIP,IRL,1994-09-18,1095
235,Yonca KUTLUK,TUR,2000-08-15,1095
236,Ayari HARADA,JPN,1998-04-14,1095
237,Monica WANJIKU,KEN,2002-03-10,1094
238,Marika ACCORSI,ITA,1999-02-17,1094
239,Jacqueline GAUGHAN,USA,1999-10-27,1093
240,Karawan Halabi KABLAN,ISR,1995-01-18,1093
241,Mia JURENKA,GER,2002-11-08,1093
242,Huiru LIU,CHN,2005-08-20,1093
243,Haruka OGAWA,JPN,2004-05-02,1093
244,Ali WEIMER,USA,2004-05-06,1093
245,Meizhen LI,CHN,1999-01-03,1092
246,Brianna ROBLES,USA,,1092
247,Amaris TYYNISMAA,USA,2001-03-21,1092
248,Mădălina-Elena SÎRBU,ROU,2003-05-07,1091
249,Nicola JANSEN,RSA,2002-04-05,1091
250,Amy DAVIS-GREEN,USA,1997-02-15,1091
251,Sophia TOTI,USA,2002-05-29,1090
252,Stephanie BRUCE,USA,1984-01-14,1089
253,Coraline MAÂMOURI,FRA,1996-03-13,1089
254,Seira FUWA,JPN,2003-03-25,1089
255,Wakana ITSUKI,JPN,1994-04-07,1089
256,Nóra SZABÓ,HUN,1988-03-01,1088
257,Mariya NODA,JPN,2004-09-02,1088
258,Yuki TOYODA,JPN,2000-09-05,1087
259,Agate CAUNE,LAT,2004-08-07,1087
260,Mariia MAZURENKO,UKR,1997-05-28,1087
261,Ayaka MAEDA,JPN,2004-10-21,1087
262,Viviana Aroche LOPEZ,GUA,1998-06-25,1086
263,Anisleidis OCHOA,CUB,2000-10-04,1086
264,Yaxuan LI,CHN,2006-01-11,1086
265,Saida MENESES,PER,1993-01-05,1086
266,Hikaru KITAGAWA,JPN,2001-11-24,1086
267,Savannah ROARK,USA,,1085
268,Carolien MILLENAAR,DEN,1997-03-26,1084
269,Rylie LUSK,USA,,1084
270,Tomo MURAMATSU,JPN,2002-05-25,1084
271,Nancy CHEPLETING,KEN,,1083
272,Juliet CHERUBET,KEN,,1083
273,Alina REH,GER,1997-05-23,1083
274,Olivia BOROWIAK,USA,,1083
274,Ankita,IND,2002-02-05,1083
276,Heloise LAIGLE,FRA,2002-03-16,1083
277,Saki HARADA,JPN,2003-10-26,1083
278,Karabo MAILULA,RSA,2002-03-17,1083
279,Ayuka KAZAMA,JPN,2001-09-14,1082
280,Eliyah BRAWDY,CAN,,1082
281,Erin STRZELECKI,USA,,1082
282,Rebecca LONEDO,ITA,1996-12-05,1082
283,Hannah BRANCH,USA,1999-06-09,1082
284,Laura MOONEY,IRL,2002-01-25,1082
285,Minami YAMANOUCHI,JPN,1992-12-21,1081
286,Ayumi MORITA,JPN,1996-04-17,1081
287,Alla SIDOROVA,RUS,1994-03-20,1081
288,Victoria WARPY,BEL,1997-06-06,1081
289,Ruth KIMELI,KEN,,1081
290,Mckaylie CAESAR,USA,,1081
291,Katrina SPRATFORD-STERLING,USA,1990-05-15,1081
292,Svenja PINGPANK,GER,1996-10-30,1080
293,Derya KUNUR,TUR,1999-09-01,1079
294,Rio EINAGA,JPN,2002-06-15,1079
295,Akina FUJIMURA,JPN,1998-06-22,1079
296,Mao UESUGI,JPN,1995-08-16,1078
296,Ella GILSON,USA,,1078
298,Emily COVERT,USA,2001-04-09,1078
299,Charlotte DANNATT,GBR,1999-05-12,1077
300,Letizia DI LISA,ITA,1995-12-20,1077
301,Sandrafelis Chebet TUEI,KEN,1998-01-20,1077
302,Madison OFFSTEIN,USA,,1077
303,Maggie DONAHUE,USA,,1076
304,Ally GINTHER,CAN,,1075
305,Kokoro SAKAI,JPN,2001-02-08,1075
306,Asahi SHIRAKAWA,JPN,2005-09-28,1074
307,Akari MATSUMOTO,JPN,2005-02-23,1074
308,Fatima ALANIS,MEX,,1074
309,Emma EASTMAN,USA,,1073
310,Claudia ESTEVEZ,ESP,1995-09-28,1073
311,Nelida PEÑAFLOR,ARG,2000-05-15,1073
312,Merve KARAKAYA,TUR,2004-02-10,1073
313,Mariah HOWLETT,USA,,1073
314,Xia ZHOU,CHN,1997-12-23,1072
315,Maryna NEMCHENKO,UKR,1996-05-09,1071
316,Ella CHESNUT,USA,,1071
317,Caitlin ADAMS,AUS,1997-07-07,1071
318,Purity SANGA,KEN,1997-01-22,1071
319,Mary Caroline HEINEN,USA,,1071
320,Dilek ÖZTÜRK,TUR,2001-02-15,1070
321,Mackenzie BARNETT,USA,,1070
322,Nele HEYMANN,GER,2003-09-24,1070
323,Erina YASUI,JPN,1989-11-29,1070
324,Rina SASAKI,JPN,2002-01-18,1069
325,Hisami ISHII,JPN,1995-08-10,1069
326,Lanni MARCHANT,CAN,1984-04-11,1069
327,Florance UWAJENEZA,USA,,1068
328,Beth KIDGER,GBR,1994-03-16,1068
329,Amisa MURAYAMA,JPN,2004-05-30,1068
330,Eriko OTSUKA,JPN,1992-07-20,1068
331,Bryony GUNN,GBR,1998-02-28,1068
332,Carmen TOAQUIZA,ECU,1995-10-19,1067
333,Ying LU,CHN,1997-10-13,1067
334,Mercy CHEMUTAI,KEN,2002-06-23,1066
335,Qingqing LI,CHN,2004-01-28,1066
336,Lesley GREEN,USA,,1066
337,Marcella HERZOG,NED,1993-02-24,1065
338,Dafni-Eftychia-Tereza LAVASA,GRE,2001-07-12,1065
339,Carly WILKES,USA,2004-03-25,1065
340,Cordula LASSACHER,AUT,2003-11-28,1065
341,Caroline LYERLY,USA,,1065
342,Gladys TEJEDA,PER,1985-09-30,1065
343,Esme DAVIES,GBR,2001-04-26,1065
344,Ineke VAN KOLDAM,NED,1997-11-21,1064
345,Ana MARINHO,POR,2003-10-11,1064
346,Yui FUJIMARU,JPN,2004-11-10,1064
347,Anna SUZUKI,JPN,2002-03-23,1064
348,Nana NAGASHIMA,JPN,2004-04-15,1064
349,Lilly TUCK,CAN,2001-11-30,1063
350,Beata NIEMYJSKA,POL,2001-02-09,1063
351,Mariah WEHRLE,USA,,1063
352,Adelyn FAIRLEY,USA,,1063
353,Evelina HENRIKSSON,SWE,1999-12-01,1062
354,Fuka FUKUNAGA,JPN,2002-06-13,1062
355,Ali BAINBRIDGE,USA,,1062
356,Yuna ARAI,JPN,2000-04-26,1062
357,Yuyu XIA,CHN,1998-03-01,1062
357,Dana FEYEN,USA,,1062
359,Julie VOET,BEL,2003-11-22,1061
360,Jenna RAMSEY-RUTLEDGE,USA,,1061
361,Wakana HASHIMOTO,JPN,2006-10-12,1061
362,Deborah SCHÖNEBORN,GER,1994-03-13,1061
363,Samantha SAENZ,USA,,1061
364,Mayuka FUJITA,JPN,1999-09-14,1061
365,Bára STÝBLOVÁ,CZE,1999-03-02,1061
366,Zenah CHEPTOO,KEN,2002-11-11,1060
367,Megan GADSBY,GBR,2003-06-29,1060
368,Kelsey CHMIEL,USA,2001-08-01,1060
369,Bojana BJELJAC,CRO,1989-04-10,1060
370,Lovisa MODIG,SWE,1993-03-27,1060
371,Clara MAYFIELD,USA,,1060
372,Rachel SUTLIFF,USA,,1060
373,Liis-Grete HUSSAR,EST,1992-01-14,1059
374,Honoka TANAIKE,JPN,1997-03-21,1058
375,Colbi BORLAND,USA,,1058
376,Sara DUARTE,POR,1999-05-25,1058
376,Andrea KUHN,USA,,1058
378,Emma THORNLEY,USA,,1058
379,Odilia JEPCHUMBA,KEN,2000-07-28,1057
380,Alexa WESTLEY,USA,,1057
381,Aliandrea UPSHAW,USA,,1056
382,Fiona SMITH,USA,,1056
383,Agustina LANDERS,ARG,1996-02-09,1056
384,Makoto TSUCHIYA,JPN,2003-07-25,1056
385,Reia IWADE,JPN,1994-12-08,1055
386,Greta SETTINO,ITA,2003-07-12,1055
387,Asuka ISHIMATSU,JPN,2003-10-29,1055
388,Yingcui LI,CHN,2002-08-16,1055
389,Fiona MCLOUGHLIN,USA,,1055
390,Gionna QUARZO,USA,,1054
391,Salomé NYIRARUKUNDO,RWA,1997-12-20,1054
392,Skylar BOOGERD,USA,2001-05-03,1054
393,Linet Chepkwemoi MASAI,KEN,1989-12-05,1054
394,Abbey NECHANICKY,USA,,1054
395,Doyeon KIM,KOR,1993-09-02,1054
396,Annika ESVELT,USA,,1054
397,Shiori NAGUMO,JPN,1995-02-11,1053
398,Sakurako YANAI,JPN,2004-03-25,1053
399,Jenifer SILVA,BRA,1991-05-17,1053
400,Honoka SUGIURA,JPN,1997-11-08,1053
